# Localizations for unrecognized nations
# Localizations are of this form:
#   * unrecognized_<region>
# If no localization is found, the final localization will be "$unrecognized$ $REGION$"
#

####;EN;FR;DE;PL;ES;IT;SW;CZ;HU;NL;PT;RU;FI;x
unrecognized_indonesia;Unrecognized East Indies;Les Indes Orientales Mйconnues;Die Unerkannten Ostindien;Nierozpoznanyie Indie Wschodnie;Las Indias Orientales Poco Reconocidos;Indie Orientali Non Riconosciuto;;;;;As Нndias Orientais Nгo Reconhecidos;Неопознанная Ост-Индия;;x
unrecognized_philippines;Unrecognized Philippines;Les Philippines Mйconnues;Die Unerkannten Philippinen;Nierozpoznanyie Filipiny;Filipinas Poco Reconocidos;Filippine Non Riconosciuto;;;;;As Filipinas Nгo Reconhecidos;Неопознанние Филиппины;;x
unrecognized_china;Unrecognized China;Chine Mйconnue;Unerkanntes China;Nierozpoznanya China;China Poco Reconocido;Cina Non Riconosciuto;;;;;China Nгo Reconhecido;Неопознанний Китай;;x
unrecognized_korea;Unrecognized Korea;Corйe Mйconnue;Unerkanntes Korea;Nierozpoznanya Korea;Corea Poco Reconocido;Corea Non Riconosciuto;;;;;Corйia Nгo Reconhecido;Неопознанная Корея;;x
unrecognized_japan;Unrecognized Japan;Japon Mйconnue;Unerkanntes Japan;Nierozpoznanya Japonia;Japуn Poco Reconocido;Giappone Non Riconosciuto;;;;;Japгo Nгo Reconhecido;Неопознанний Япония;;x
unrecognized_maghreb;Unrecognized Maghreb;Le Maghreb Mйconnue;Der Unerkannte Maghreb;Nierozpoznanyi Maghreb;El Magreb Poco Reconocido;Magreb Non Riconosciuto;;;;;O Magrebe Nгo Reconhecido;Неопознанний Магриб;;x
unrecognized_libya;Unrecognized Libya;Libye Mйconnue;Unerkanntes Libyen;Nierozpoznanya Libia;Libia Poco Reconocido;Libia Non Riconosciuto;;;;;Lнbia Nгo Reconhecido;Неопознанная Ливия;;x
unrecognized_egypt;Unrecognized Egypt;Йgypte Mйconnue;Unerkanntes Дgypten;Nierozpoznanyi Egipt;Egipto Poco Reconocido;Egitto Non Riconosciuto;;;;;Egito Nгo Reconhecido;Неопознанний Египет;;x
unrecognized_western_africa;Unrecognized Western Africa;Afrique Occidentale Mйconnue;Unerkanntes Westafrika;Nierozpoznanya Afryka Zachodnia;Бfrica Occidental Poco Reconocido;Africa Occidentale Non Riconosciuto;;;;;Бfrica Ocidental Nгo Reconhecido;Неопознанная Западная Африка;;x
unrecognized_sudan;Unrecognized Sudan;Soudan Mйconnue;Der Unerkannte Sudan;Nierozpoznanyi Sudan;Sudбn Poco Reconocido;Sudan Non Riconosciuto;;;;;Sudгo Nгo Reconhecido;Неопознанний Судан;;x
unrecognized_abyssinia;Unrecognized Abyssinia;Abyssinie Mйconnue;Unerkanntes Abessinien;Nierozpoznanya Abisynia;Abisinia Poco Reconocido;Abissinia Non Riconosciuto;;;;;Abissнnia Nгo Reconhecido;Неопознанная Абиссиния;;x
unrecognized_nigeria;Unrecognized Nigeria;Nigйria Mйconnue;Unerkanntes Nigeria;Nierozpoznanya Nigeria;Nigeria Poco Reconocido;Nigeria Non Riconosciuto;;;;;Nigйria Nгo Reconhecido;Неопознанная Нигерия;;x
unrecognized_congo;Unrecognized Congo;Congo Mйconnue;Unerkanntes Kongo;Nierozpoznanyie Kongo;Congo Poco Reconocido;Congo Non Riconosciuto;;;;;Congo Nгo Reconhecido;Неопознанное Конго;;x
unrecognized_equatorial_africa;Unrecognized Equatorial Africa;Afrique Йquatoriale Mйconnue;Unerkanntes Дquatorialafrika;Nierozpoznanya Afryka Rуwnikowa;Бfrica Ecuatorial Poco Reconocido;Africa Equatoriale Non Riconosciuto;;;;;Бfrica Equatorial Nгo Reconhecido;Неопознанная Экваториальная Африка;;x
unrecognized_angola;Unrecognized Angola;Angola Mйconnue;Unerkanntes Angola;Nierozpoznanya Angola;Angola Poco Reconocido;Angola Non Riconosciuto;;;;;Angola Nгo Reconhecido;Неопознанная Ангола;;x
unrecognized_east_africa;Unrecognized East Africa;Afrique Orientale Mйconnue;Unerkanntes Ostafrika;Nierozpoznanya Afryka Wschodnia;Бfrica Oriental Poco Reconocido;Africa Orientale Non Riconosciuto;;;;;Бfrica Oriental Nгo Reconhecido;Неопознанная Восточная Африка;;x
unrecognized_mozambique;Unrecognized Mozambique;Mozambique Mйconnue;Unerkanntes Mosambik;Nierozpoznanyi Mozambik;Mozambique Poco Reconocido;Mozambico Non Riconosciuto;;;;;Moзambique Nгo Reconhecido;Неопознанний Мозамбик;;x
unrecognized_southern_africa;Unrecognized Southern Africa;Afrique Australe Mйconnue;Unerkanntes Sьdafrika;Nierozpoznanya Afryka Poіudniowa;Бfrica Austral Poco Reconocido;Africa Meridionale Non Riconosciuto;;;;;Бfrica Austral Nгo Reconhecido;Неопознанная Южная Африка;;x
unrecognized_rhodesia;Unrecognized Rhodesia;Rhodйsie Mйconnue;Unerkanntes Rhodesien;Nierozpoznanya Rodezja;Rodesia Poco Reconocido;Rodesia Non Riconosciuto;;;;;Rodйsia Nгo Reconhecido;Неопознанная Родезия;;x
unrecognized_madagascar;Unrecognized Madagascar;Madagascar Mйconnue;Unerkanntes Madagaskar;Nierozpoznanyi Madagaskar;Madagascar Poco Reconocido;Madagascar Non Riconosciuto;;;;;Madagascar Nгo Reconhecido;Неопознанний Мадагаскар;;x
unrecognized_mexico;Unrecognized Mexico;Mexique Mйconnue;Unerkanntes Mexiko;Nierozpoznanyi Meksyk;Mйxico Poco Reconocido;Messico Non Riconosciuto;;;;;Mйxico Nгo Reconhecido;Неопознанная Мексика;;x
unrecognized_central_america;Unrecognized Central America;Amйrique Centrale Mйconnue;Unerkanntes Zentralamerika;Nierozpoznanya Ameryka Њrodkowa;Centroamйrica Poco Reconocido;America Centrale Non Riconosciuto;;;;;Amйrica Central Nгo Reconhecido;Неопознанная Центральная Америка;;x
unrecognized_caribbean;Unrecognized Caribbean;Les Caraпbes Mйconnues;Die Unerkannte Karibik;Nierozpoznanyie Karaiby;El Caribe Poco Reconocido;Caraibi Non Riconosciuto;;;;;Caribe Nгo Reconhecido;Неопознанное Карибское;;x
unrecognized_gran_colombia;Unrecognized New Grenada;Nouvelle Grenade Mйconnue;Unerkanntes Neu-Grenada;Nierozpoznanya Nowa Grenada;Nueva Granada Poco Reconocido;Nuova Granada Non Riconosciuto;;;;;Nova Granada Nгo Reconhecido;Неопознанная Новая Гренада;;x
unrecognized_peru_bolivia;Unrecognized Peru-Bolivia;Pйrou-Bolivie Mйconnue;Unerkanntes Peru-Bolivien;Nierozpoznanyie Peru-Boliwia;Perъ-Bolivia Poco Reconocido;Perщ-Bolivia Non Riconosciuto;;;;;Peru-Bolнvia Nгo Reconhecido;Неопознанний Перу-Боливия;;x
unrecognized_patagonia;Unrecognized Rнo de la Plata;Le Rнo-de-la-Plata Mйconnue;Der Unerkannte Rнo de la Plata;Nierozpoznanyie Rio de la Plata;El Rнo de la Plata Poco Reconocido;Rio della Plata Non Riconosciuto;;;;;O Rнo de la Plata Nгo Reconhecido;Неопознанний Рио-де-ла-Плата;;x
unrecognized_brazil;Unrecognized Brazil;Brйsil Mйconnue;Unerkanntes Brasilien;Nierozpoznanya Brazylia;Brasil Poco Reconocido;Brasile Non Riconosciuto;;;;;Brasil Nгo Reconhecido;Неопознанний Бразилия;;x
unrecognized_australia;Unrecognized Australia;Australie Mйconnue;Unerkanntes Australien;Nierozpoznanya Australia;Australia Poco Reconocido;Australia Non Riconosciuto;;;;;Austrбlia Nгo Reconhecido;Неопознанная Австралия;;x
unrecognized_oceania;Unrecognized Pacific;Le Pacifique Mйconnue;Der Unerkannte Pazifik;Nierozpoznanyi Pacyfik;El Pacнfico Poco Reconocido;Pacifico Non Riconosciuto;;;;;O Pacнfico Nгo Reconhecido;Неопознанное Тихое;;
